"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1902281926062268708","Wed Mar 19 08:52:08 +0000 2025","0","Yang modelan begini minta jabatan sipil juga tanpa harus off dari militer nya blm lagi kemaren sabung ayam menuju Indonesia tutup #TolakRUUTNI https://t.co/EDb3JqMXTY","1902281926062268708","","","in","","0","0","1","https://x.com/soelhun/status/1902281926062268708","1445937845177229315","soelhun"
"1902281885977571455","Wed Mar 19 08:51:58 +0000 2025","0","yukk #TolakRUUTNI #TolakRevisiUUTNI","1902281885977571455","","","in","Pluto","0","0","1","https://x.com/senyum_manis0/status/1902281885977571455","75554768","senyum_manis0"
"1902240437622215081","Wed Mar 19 08:51:53 +0000 2025","0","@jackjackparrr Yesss!!! Kali ini gak bisa biasa-biasa aja karena yang diubah juga bukan aturan biasa. #TolakRUUTNI","1902281863735202015","","jackjackparrr","in","","0","0","1","https://x.com/Alphaenglish24/status/1902281863735202015","1826959047675035648","Alphaenglish24"
"1902281785087815766","Wed Mar 19 08:51:34 +0000 2025","4","Fokus saja sama isu #TolakRUUTNI sebagai tuntutan utama. Pertahankan fokus itu sembari jangkau yang lain. #TolakRUUTNI","1902281785087815766","","","in","Titik Konflik","0","0","2","https://x.com/tribunmelawan/status/1902281785087815766","1582978151247843328","tribunmelawan"
"1902281778498564606","Wed Mar 19 08:51:33 +0000 2025","451","Indonesia: Reject Indonesia Military Bill #TolakRUUTNI","1902281778498564606","","","in","","4","2","251","https://x.com/asia_ajar/status/1902281778498564606","911694822","asia_ajar"
"1902281613913784516","Wed Mar 19 08:50:54 +0000 2025","0","Sebagai seorang warga sipil dan jg perempuan takut dan was-was jika RUU TNI ini disahkan bagaimana seseorang yang bersenjata akan lebih leluasa berkuasa dan menduduki jabatan sipil tanpa pertanggungjawaban militer yg jelas. #TolakRUUTNI","1902281613913784516","","","in","","0","0","1","https://x.com/_sedikitterang_/status/1902281613913784516","1539971222942801926","_sedikitterang_"
"1902281419222872341","Wed Mar 19 08:50:07 +0000 2025","75","Kampus @UIIYogyakarta #TolakRUUTNI","1902281419222872341","","","in","Indonesia","1","0","34","https://x.com/barengwarga/status/1902281419222872341","1850558971779956736","barengwarga"
"1902189553215271344","Wed Mar 19 08:49:57 +0000 2025","0","@jackjackparrr Aku bantu doa. Hati buat besok yg turun! #TolakRUUTNI #TolakRevisiUUTNI","1902281375065239863","","jackjackparrr","in","","0","0","0","https://x.com/bentarcapek/status/1902281375065239863","1516011348701822978","bentarcapek"
"1902281364613050731","Wed Mar 19 08:49:54 +0000 2025","0","aduhhh lg.. mau jd apa negara ini #IndonesiaGelap #TolakRUUTNI","1902281364613050731","","","in","Pluto","0","0","1","https://x.com/senyum_manis0/status/1902281364613050731","75554768","senyum_manis0"
"1902268864593064389","Wed Mar 19 08:49:34 +0000 2025","157","@tempodotco Takut lakinya dipenjara #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap https://t.co/Oyq9bvV96Z","1902281280177471652","https://pbs.twimg.com/media/GmZCvYOa8AchRDf.jpg","tempodotco","in","Indonesia","5","9","20","https://x.com/SegelasAirJeruk/status/1902281280177471652","68995828","SegelasAirJeruk"
"1902182215284617654","Wed Mar 19 08:49:30 +0000 2025","0","@jackjackparrr Semangaaat #TolakRUUTNI","1902281261617705150","","jackjackparrr","in","Indonesia","0","0","1","https://x.com/detike_6/status/1902281261617705150","73880659","detike_6"
"1902249975339479083","Wed Mar 19 08:49:12 +0000 2025","138","@UIIYogyakarta UII Keren banget kampus lain ditunggu. #TolakRUUTni","1902281189458899178","","UIIYogyakarta","in","Indonesia","1","1","26","https://x.com/barengwarga/status/1902281189458899178","1850558971779956736","barengwarga"
"1902263780744245620","Wed Mar 19 08:47:37 +0000 2025","0","@xoxofirstclasss Ibu negara kita ️ #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap","1902280789473243335","","xoxofirstclasss","in","Indonesia","0","0","1","https://x.com/SegelasAirJeruk/status/1902280789473243335","68995828","SegelasAirJeruk"
"1902280726852333993","Wed Mar 19 08:47:22 +0000 2025","2","Klo benar ini ucapan seorang KASAD siap2 berhadapan dengan rakyat. #TolakRUUTNI https://t.co/ssieXYwGfM","1902280726852333993","https://pbs.twimg.com/media/GmZCPNia8AAMbGD.jpg","","in","Indonesia","0","0","1","https://x.com/irhamgoes/status/1902280726852333993","2542615363","irhamgoes"
"1902280592550732231","Wed Mar 19 08:46:50 +0000 2025","8","Gw on di sini cuma buat lawan pemerintah #TolakRUUTNI #TolakRevisiUUTNI #TolakDwifungsiABRI","1902280592550732231","","","in","Lagi di kebon","0","0","5","https://x.com/gagahnyantai/status/1902280592550732231","1528705691367534594","gagahnyantai"
"1902263167205699747","Wed Mar 19 08:46:46 +0000 2025","20","@barengwarga Rapatkan barisan petir dikepalan tangan Lihatlah keatas kawan lihatlah lawan sebenarnya Lihatlah kesamping kawan kita di belah karna berbeda Cepatlah sadar kawan selagi kau masih muda Dengarkah kau dipanggil mengabdi alam Indonesia? #TolakRUUTNI https://t.co/0L9yAVIpol","1902280573353390248","","barengwarga","in","neverland","0","0","11","https://x.com/jijirnyinyir/status/1902280573353390248","1047680225138466816","jijirnyinyir"
"1902280557158953198","Wed Mar 19 08:46:42 +0000 2025","1","Selangkah Lagi DPR dan Pemerintah Sepakat RUU TNI Dibawa ke Rapar Paripurna dan Akan Disahkan Menjadi Undang-Undang (nf) #DPRPemerintahSepakatRUUTNIDibawakeParipurna #tolakRUUTNI #RUUTNI #dpr #ruutni #dwifungsimiliter #militer #KomisiIDPR #KSAD #presidenprabowo #prabowo https://t.co/ju8fvWKAen","1902280557158953198","https://pbs.twimg.com/ext_tw_video_thumb/1902279951916920833/pu/img/ruUzDkNlAOgTm3m3.jpg","","in","DKI Jakarta","0","0","1","https://x.com/kontekscoid/status/1902280557158953198","1565270466238902274","kontekscoid"
"1902274553952579664","Wed Mar 19 08:46:31 +0000 2025","4","Gw bukan berarti membenarkan putusan2 pemrint yg ga baik untuk rakyatnya. Gw hanya menghighlight bahwasannya; stop koar koar nyalahin voters 02 nya karena wasting time dan ga akan mengubah presidennya sesuai keinginan lu. Dan gw ttep menolak RUUTNI. Thanks #TolakRUUTNI","1902280514066956402","","the_andiqa","in","South","0","0","0","https://x.com/the_andiqa/status/1902280514066956402","1583775000146116609","the_andiqa"
"1902280483611852855","Wed Mar 19 08:46:24 +0000 2025","69","trisakti turun ke jalan!!! #TolakRUUTNI https://t.co/mwafCv9hNi","1902280483611852855","https://pbs.twimg.com/media/GmZCAcZa8AAIq1r.jpg","","in","IS 24","1","5","9","https://x.com/studyeuph/status/1902280483611852855","1294106052967899137","studyeuph"
"1902280281329168416","Wed Mar 19 08:45:36 +0000 2025","0","Emang parpol yg ada ga ada yg bisa diharapkan #TolakRUUTNI","1902280281329168416","","","in","","0","0","1","https://x.com/DhilabackG/status/1902280281329168416","1323797245","DhilabackG"
